origin,hour,model,actual,forecast,error,abs_error
2024-05-10,2024-05-10 16:00:00,calendar_lag_ridge,5732.0,10613.555954383279,-4881.555954383279,4881.555954383279
2024-05-10,2024-05-10 17:00:00,calendar_lag_ridge,7639.0,13151.741628946294,-5512.741628946294,5512.741628946294
2024-05-10,2024-05-10 18:00:00,calendar_lag_ridge,8311.0,12038.875985850518,-3727.875985850518,3727.875985850518
2024-05-10,2024-05-10 19:00:00,calendar_lag_ridge,4694.0,9201.986168914025,-4507.986168914025,4507.986168914025
2024-05-10,2024-05-10 20:00:00,calendar_lag_ridge,3466.0,6649.999123554491,-3183.9991235544912,3183.9991235544912
2024-05-10,2024-05-10 21:00:00,calendar_lag_ridge,2728.0,5208.640267685262,-2480.640267685262,2480.640267685262
2024-05-10,2024-05-10 22:00:00,calendar_lag_ridge,2744.0,4438.721248827794,-1694.7212488277937,1694.7212488277937
2024-05-10,2024-05-10 23:00:00,calendar_lag_ridge,2484.0,3423.3588719132304,-939.3588719132304,939.3588719132304
2024-05-17,2024-05-17 00:00:00,previous_day,1809.0,1261.0,548.0,548.0
2024-05-17,2024-05-17 01:00:00,previous_day,1004.0,537.0,467.0,467.0
2024-05-17,2024-05-17 02:00:00,previous_day,641.0,190.0,451.0,451.0
2024-05-17,2024-05-17 03:00:00,previous_day,382.0,143.0,239.0,239.0
2024-05-17,2024-05-17 04:00:00,previous_day,378.0,246.0,132.0,132.0
2024-05-17,2024-05-17 05:00:00,previous_day,985.0,615.0,370.0,370.0
2024-05-17,2024-05-17 06:00:00,previous_day,2744.0,1834.0,910.0,910.0
2024-05-17,2024-05-17 07:00:00,previous_day,6360.0,4895.0,1465.0,1465.0
2024-05-17,2024-05-17 08:00:00,previous_day,9113.0,8480.0,633.0,633.0
2024-05-17,2024-05-17 09:00:00,previous_day,7386.0,6634.0,752.0,752.0
2024-05-17,2024-05-17 10:00:00,previous_day,6135.0,4881.0,1254.0,1254.0
2024-05-17,2024-05-17 11:00:00,previous_day,6621.0,5018.0,1603.0,1603.0
2024-05-17,2024-05-17 12:00:00,previous_day,7686.0,5802.0,1884.0,1884.0
2024-05-17,2024-05-17 13:00:00,previous_day,8234.0,6162.0,2072.0,2072.0
2024-05-17,2024-05-17 14:00:00,previous_day,9531.0,7352.0,2179.0,2179.0
2024-05-17,2024-05-17 15:00:00,previous_day,10731.0,8718.0,2013.0,2013.0
2024-05-17,2024-05-17 16:00:00,previous_day,11733.0,9798.0,1935.0,1935.0
2024-05-17,2024-05-17 17:00:00,previous_day,13727.0,13064.0,663.0,663.0
2024-05-17,2024-05-17 18:00:00,previous_day,12682.0,12055.0,627.0,627.0
2024-05-17,2024-05-17 19:00:00,previous_day,10355.0,8889.0,1466.0,1466.0
2024-05-17,2024-05-17 20:00:00,previous_day,7738.0,6459.0,1279.0,1279.0
2024-05-17,2024-05-17 21:00:00,previous_day,5631.0,4888.0,743.0,743.0
2024-05-17,2024-05-17 22:00:00,previous_day,4745.0,4339.0,406.0,406.0
2024-05-17,2024-05-17 23:00:00,previous_day,4390.0,3068.0,1322.0,1322.0
2024-05-17,2024-05-17 00:00:00,previous_week,1809.0,1665.0,144.0,144.0
2024-05-17,2024-05-17 01:00:00,previous_week,1004.0,883.0,121.0,121.0
2024-05-17,2024-05-17 02:00:00,previous_week,641.0,263.0,378.0,378.0
2024-05-17,2024-05-17 03:00:00,previous_week,382.0,150.0,232.0,232.0
2024-05-17,2024-05-17 04:00:00,previous_week,378.0,140.0,238.0,238.0
2024-05-17,2024-05-17 05:00:00,previous_week,985.0,431.0,554.0,554.0
