segment_id,segment_label,segment_type,origin,model,model_label,n,mae,rmse,mape,wape
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-06-21,previous_day,Previous day,24,95.83333333333333,142.7308072328232,0.1768292479991199,0.16379433129183876
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-06-21,previous_week,Previous week,24,104.79166666666667,167.47499813404986,0.17272256739576866,0.17910554052129327
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-06-21,calendar_lag_ridge,Calendar + lag ridge,24,72.07119675191315,86.82899097723397,0.27496523763825736,0.12318107976398773
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-06-21,weather_event_ridge,Weather/event ridge,24,110.63280895780895,124.555601627606,0.6103016396821698,0.18908897699668242
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-06-28,previous_day,Previous day,24,116.125,186.73075536718636,0.245877288852543,0.18521964511198247
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-06-28,previous_week,Previous week,24,54.291666666666664,73.81593098150742,0.09622476087674862,0.08659533461819632
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-06-28,calendar_lag_ridge,Calendar + lag ridge,24,50.61643688491153,65.13923782599296,0.20210576004230232,0.08073333456754679
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-06-28,weather_event_ridge,Weather/event ridge,24,30.94141420026808,47.90415094775737,0.06305487991841069,0.0493516276205512
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-07-05,previous_day,Previous day,24,98.79166666666667,131.69677925699878,0.3784982936465964,0.266344641653561
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-07-05,previous_week,Previous week,24,256.625,332.2413154119558,0.7171004000672075,0.6918669961806335
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-07-05,calendar_lag_ridge,Calendar + lag ridge,24,183.8689949416947,213.01664361889254,0.8316679654898597,0.4957151065603991
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-07-05,weather_event_ridge,Weather/event ridge,24,189.51684628425164,228.76969573603958,1.0318514615622645,0.5109418457450056
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-07-12,previous_day,Previous day,24,168.16666666666666,272.1751886806241,0.33317266249401356,0.3287180322528099
