origin,model,n,mae,rmse,mape
2024-01-28,previous_day,24,2114.5,2590.0085102820285,1.9607769379000093
2024-01-28,previous_week,24,461.375,620.447318472729,0.42685260008661113
2024-01-28,hour_of_day_profile,24,1405.1697530864196,1796.3814366993358,1.9838381890161692
2024-01-28,weekday_hour_profile,24,562.513888888889,754.5926758732035,0.5120279253933263
2024-01-29,previous_day,24,1912.75,2528.6649969236073,0.9286110696857975
2024-01-29,previous_week,24,415.3333333333333,607.9324935111354,0.13610899242629196
2024-01-29,hour_of_day_profile,24,579.9345238095239,846.8519912405161,0.3539484427292243
2024-01-29,weekday_hour_profile,24,689.5,959.0548597230157,0.6693690949305666
2024-01-30,previous_day,24,404.4166666666667,645.1572805654964,0.1469012027489884
2024-01-30,previous_week,24,472.0833333333333,605.0035812566181,0.1484370742645618
2024-01-30,hour_of_day_profile,24,833.5689655172414,1337.5148949204147,0.2710483412372132
2024-01-30,weekday_hour_profile,24,1082.9479166666667,1418.998031733131,0.2769185749032096
2024-01-31,previous_day,24,251.875,378.1661341262594,0.08628807981798788
2024-01-31,previous_week,24,710.0,1038.2943144086523,0.17563088153669923
2024-01-31,hour_of_day_profile,24,983.7277777777778,1376.1460265161893,0.32847994117393353
2024-01-31,weekday_hour_profile,24,664.9270833333334,857.5068801351781,0.17058830806631384
