date,rides
2024-09-24,178020
2024-09-25,172706
2024-09-26,160329
2024-09-27,180821
2024-09-28,89966
2024-09-29,71260
2024-09-30,167838
2024-10-01,177310
2024-10-02,176747
2024-10-03,168691
2024-10-04,172469
2024-10-05,182671
2024-10-06,157574
2024-10-07,163342
2024-10-08,175988
2024-10-09,178881
2024-10-10,168437
2024-10-11,169183
2024-10-12,168408
2024-10-13,155239
2024-10-14,132781
2024-10-15,150225
2024-10-16,153866
2024-10-17,153959
2024-10-18,164871
2024-10-19,168972
2024-10-20,154692
2024-10-21,163961
2024-10-22,180081
2024-10-23,182691
2024-10-24,175761
2024-10-25,170233
2024-10-26,165742
2024-10-27,132205
2024-10-28,147138
2024-10-29,160898
2024-10-30,181759
2024-10-31,190368
2024-11-01,180293
2024-11-02,155084
2024-11-03,128796
2024-11-04,140460
2024-11-05,164054
2024-11-06,173796
2024-11-07,171796
2024-11-08,164332
2024-11-09,134538
2024-11-10,112519
2024-11-11,137003
2024-11-12,133268
2024-11-13,131629
2024-11-14,123591
2024-11-15,140526
2024-11-16,140129
2024-11-17,125783
2024-11-18,141249
2024-11-19,146746
2024-11-20,152470
2024-11-21,57303
2024-11-22,64680
2024-11-23,99608
2024-11-24,96054
2024-11-25,123334
2024-11-26,106091
2024-11-27,113501
2024-11-28,27086
2024-11-29,59758
2024-11-30,60455
2024-12-01,58040
2024-12-02,91531
2024-12-03,103500
2024-12-04,105390
2024-12-05,95747
2024-12-06,93236
2024-12-07,86367
2024-12-08,95020
2024-12-09,87998
2024-12-10,98404
2024-12-11,66833
2024-12-12,93626
2024-12-13,94002
2024-12-14,80542
2024-12-15,74140
2024-12-16,57822
2024-12-17,124630
2024-12-18,105445
2024-12-19,106304
2024-12-20,77631
2024-12-21,38737
2024-12-22,31569
2024-12-23,44425
2024-12-24,32818
2024-12-25,21545
2024-12-26,42673
2024-12-27,54072
2024-12-28,26701
2024-12-29,61427
2024-12-30,82912
2024-12-31,76734
