hour,rides,date,month,day_name,day_of_week,hour_of_day,day_of_year,is_weekend,is_federal_holiday,hour_sin,hour_cos,dow_sin,dow_cos,month_number,month_sin,month_cos,is_weekend_int,is_federal_holiday_int,days_since_start,lag_24h,lag_168h,rolling_24h_prior_day,rolling_168h_prior_day
2024-06-13 20:00:00,9631,2024-06-13,2024-06,Thursday,3,20,165,False,False,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,6,1.2246467991473532e-16,-1.0,0,0,164.83333333333334,9638.0,9584.0,7043.625,6695.202380952381
2024-06-13 21:00:00,7696,2024-06-13,2024-06,Thursday,3,21,165,False,False,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,6,1.2246467991473532e-16,-1.0,0,0,164.875,7153.0,6060.0,7085.833333333333,6697.053571428572
2024-06-13 22:00:00,6253,2024-06-13,2024-06,Thursday,3,22,165,False,False,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,6,1.2246467991473532e-16,-1.0,0,0,164.91666666666666,5653.0,5403.0,7121.583333333333,6696.291666666667
2024-06-13 23:00:00,4472,2024-06-13,2024-06,Thursday,3,23,165,False,False,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,6,1.2246467991473532e-16,-1.0,0,0,164.95833333333334,4177.0,4241.0,7160.583333333333,6699.898809523809
2024-06-14 00:00:00,2637,2024-06-14,2024-06,Friday,4,0,166,False,False,0.0,1.0,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.0,1992.0,2524.0,7172.916666666667,6701.047619047619
2024-06-14 01:00:00,1516,2024-06-14,2024-06,Friday,4,1,166,False,False,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.04166666666666,1030.0,1510.0,7178.583333333333,6703.946428571428
2024-06-14 02:00:00,915,2024-06-14,2024-06,Friday,4,2,166,False,False,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.08333333333334,585.0,776.0,7179.583333333333,6705.5297619047615
2024-06-14 03:00:00,507,2024-06-14,2024-06,Friday,4,3,166,False,False,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.125,387.0,506.0,7181.416666666667,6706.511904761905
2024-06-14 04:00:00,473,2024-06-14,2024-06,Friday,4,4,166,False,False,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.16666666666666,416.0,484.0,7184.291666666667,6708.107142857143
2024-06-14 05:00:00,1177,2024-06-14,2024-06,Friday,4,5,166,False,False,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.20833333333334,1267.0,1166.0,7181.625,6711.839285714285
