hour,rides,day_of_week,hour_of_day,day_name,is_weekend,trend_24h,trend_168h,seasonal_expected,seasonal_component,seasonal_residual,residual_robust_z
2024-01-04 15:00:00,5270.0,3,15,Thursday,False,3218.5416666666665,2470.8630952380954,4928.0,2393.3723118279568,342.0,0.5180054354592103
2024-01-04 16:00:00,6197.0,3,16,Thursday,False,3217.5,2465.160714285714,5799.25,3264.6223118279568,397.75,0.6146708849214729
2024-01-04 17:00:00,7940.0,3,17,Thursday,False,3216.0,2462.5178571428573,7618.0,5083.372311827957,322.0,0.4833272473113134
2024-01-04 18:00:00,6642.0,3,18,Thursday,False,3213.7083333333335,2464.7083333333335,6875.75,4341.122311827957,-233.75,-0.48029290584837236
2024-01-04 19:00:00,4481.0,3,19,Thursday,False,3197.9583333333335,2474.970238095238,4936.25,2401.6223118279568,-455.25,-0.8643538395863308
2024-01-04 20:00:00,2949.0,3,20,Thursday,False,3167.8333333333335,2499.7678571428573,3350.0,815.3723118279568,-401.0,-0.7702892542351604
2024-01-04 21:00:00,2228.0,3,21,Thursday,False,3103.0,2536.2976190476193,2605.25,70.62231182795676,-377.25,-0.7291089058095328
2024-01-04 22:00:00,1591.0,3,22,Thursday,False,3072.3333333333335,2556.1488095238096,1934.25,-600.3776881720432,-343.25,-0.670155985958108
2024-01-04 23:00:00,976.0,3,23,Thursday,False,3063.4166666666665,2564.309523809524,1201.75,-1332.8776881720432,-225.75,-0.4664216305892136
2024-01-05 00:00:00,568.0,4,0,Friday,False,3064.25,2568.3511904761904,697.0,-1837.6276881720432,-129.0,-0.29866589542376226
2024-01-05 01:00:00,309.0,4,1,Friday,False,3064.5416666666665,2569.5178571428573,376.75,-2157.8776881720432,-67.75,-0.19246394422082794
2024-01-05 02:00:00,206.0,4,2,Friday,False,3077.125,2570.3571428571427,238.75,-2295.8776881720432,-32.75,-0.1317771149620083
2024-01-05 03:00:00,136.0,4,3,Friday,False,3083.0416666666665,2572.875,153.5,-2381.1276881720432,-17.5,-0.1053349964992369
2024-01-05 04:00:00,198.0,4,4,Friday,False,3094.25,2578.690476190476,187.5,-2347.1276881720432,10.5,-0.05678553309218121
2024-01-05 05:00:00,675.0,4,5,Friday,False,3083.3333333333335,2591.1666666666665,599.25,-1935.3776881720432,75.75,0.0563520557403325
2024-01-05 06:00:00,1814.0,4,6,Friday,False,3030.9583333333335,2617.839285714286,1671.75,-862.8776881720432,142.25,0.17165703133208976
2024-01-05 07:00:00,3778.0,4,7,Friday,False,2996.0,2646.0416666666665,3517.0,982.3723118279568,261.0,0.37755877346022776
